# Angles for annie_jab.mp4
# time, frame, left_elbow_deg, right_elbow_deg
16:00:06.860,    207, 24.8, NaN
16:00:06.893,    208, NaN, NaN
16:00:06.927,    209, 48.9, NaN
16:00:06.960,    210, 94.2, NaN
16:00:06.993,    211, NaN, NaN
16:00:07.027,    212, NaN, NaN
16:00:07.060,    213, NaN, NaN
16:00:07.093,    214, 171.5, NaN
16:00:07.127,    215, 143.3, NaN
16:00:07.160,    216, 95.0, NaN
16:00:07.193,    217, 48.5, NaN
16:00:07.227,    218, NaN, NaN
16:00:07.260,    219, NaN, NaN
16:00:07.293,    220, 41.8, NaN
16:00:07.327,    221, NaN, NaN
16:00:07.360,    222, NaN, 141.2
16:00:07.393,    223, NaN, NaN
16:00:07.460,    225, NaN, NaN
16:00:07.492,    226, NaN, NaN
16:00:07.525,    227, NaN, NaN
16:00:07.558,    228, NaN, NaN
16:00:07.592,    229, 51.2, NaN
16:00:07.625,    230, 37.1, NaN
16:00:07.658,    231, 32.9, NaN
16:00:07.692,    232, 37.8, NaN
16:00:07.725,    233, 38.3, NaN
16:00:07.758,    234, 39.1, NaN
16:00:07.792,    235, 36.4, NaN
16:00:07.825,    236, 36.6, NaN
16:00:07.858,    237, 36.7, NaN
16:00:07.892,    238, 37.8, NaN
16:00:07.925,    239, 47.5, NaN
16:00:07.958,    240, 81.8, NaN
16:00:07.992,    241, NaN, NaN
16:00:08.025,    242, NaN, NaN
16:00:08.058,    243, NaN, NaN
16:00:08.092,    244, NaN, NaN
16:00:08.125,    245, NaN, NaN
16:00:08.158,    246, NaN, NaN
16:00:08.192,    247, NaN, NaN
16:00:08.225,    248, 28.4, NaN
16:00:08.258,    249, 26.5, NaN
16:00:08.292,    250, 29.6, NaN
16:00:08.325,    251, 31.6, NaN
16:00:08.358,    252, 29.1, NaN
16:00:08.392,    253, 28.2, NaN
16:00:08.425,    254, 28.9, NaN
16:00:08.458,    255, 29.5, NaN
16:00:08.492,    256, 28.8, NaN
16:00:08.525,    257, 30.9, NaN
16:00:08.558,    258, 39.0, NaN
16:00:08.592,    259, 67.2, NaN
16:00:08.625,    260, NaN, NaN
16:00:08.658,    261, NaN, NaN
16:00:08.758,    264, NaN, NaN
16:00:08.792,    265, NaN, NaN
16:00:08.825,    266, 88.7, NaN
16:00:08.858,    267, 58.0, NaN
16:00:08.892,    268, 34.7, NaN
16:00:08.925,    269, 25.6, NaN
16:00:08.958,    270, 32.0, NaN
16:00:08.992,    271, 34.9, NaN
16:00:09.025,    272, 34.6, NaN
16:00:09.058,    273, 32.7, NaN
16:00:09.092,    274, 31.2, NaN
16:00:09.125,    275, 33.2, NaN
16:00:09.158,    276, 37.0, NaN
16:00:09.190,    277, 39.3, NaN
16:00:09.223,    278, 42.0, NaN
16:00:09.257,    279, 46.8, NaN
16:00:09.290,    280, NaN, NaN
16:00:09.323,    281, 67.7, NaN
16:00:09.357,    282, 71.6, NaN
16:00:09.390,    283, 71.7, NaN
16:00:09.423,    284, 72.0, NaN
16:00:09.457,    285, 68.0, NaN
16:00:09.490,    286, 58.9, NaN
16:00:09.523,    287, 57.6, 5.5
16:00:09.557,    288, 57.5, 4.2
16:00:09.590,    289, 54.8, NaN
16:00:09.623,    290, 54.8, NaN
